,course_id,course_title,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,subject,year,month
1813,931152,Instant Bodhran - part two; learning further drumming skills,1,40,28,1,10,Beginner Level,1,Musical Instruments,2016,08
1814,1158690,"Instant Harmonica - Basic 12 Bar Blues course, easy and fun!",1,40,124,8,14,Beginner Level,1,Musical Instruments,2017,03
1815,643970,Instant Harmonica - Christmas. Play Jingle Bells Part 1 now,1,20,823,11,10,All Levels,0.7,Musical Instruments,2015,12
1816,655958,Instant Harmonica - Christmas; play Jingle Bells part 2 now!,1,20,58,1,10,All Levels,0.7,Musical Instruments,2015,12
1817,1036338,Instant harmonica - enjoy playing Silent Night tonight!,1,40,16,3,12,All Levels,0.6,Musical Instruments,2016,12
1818,560662,Instant Harmonica - how to get single notes in 5 easy steps,1,20,835,10,7,Beginner Level,0.6,Musical Instruments,2015,07
1819,1255114,Instant Harmonica - Learning the Basic 12 Bar Blues Bassline,1,40,54,6,10,All Levels,1,Musical Instruments,2017,06
1820,1104500,Instant Harmonica - play 12 bar blues Big Walter style now!,1,40,31,2,14,All Levels,1,Musical Instruments,2017,05
1821,861566,Instant harmonica - play Adele's wonderful 'Hello' today!,1,20,284,3,12,All Levels,1,Musical Instruments,2016,05
1822,854696,Instant Harmonica - play Amazing Grace + Ode to Joy now!,1,40,341,7,23,All Levels,1.5,Musical Instruments,2016,06
1823,567558,Instant Harmonica - play Amazing Grace with grace and ease!,1,40,496,6,14,Beginner Level,1,Musical Instruments,2015,08
1824,1046768,Instant harmonica - play Auld Lang Syne the neet (tonight)!,1,40,28,1,13,All Levels,1,Musical Instruments,2016,12
1825,933814,Instant Harmonica - play Blowing in the Wind + Popeye theme!,1,40,13,1,24,All Levels,1.5,Musical Instruments,2016,09
1826,1102396,Instant Harmonica - play 'Can't Help Falling in Love' now!,1,40,32,3,11,All Levels,1,Musical Instruments,2017,02
1827,789820,Instant Harmonica - play Christmas + Birthday songs now!,1,40,236,0,18,All Levels,1.5,Musical Instruments,2016,05
1828,705890,Instant Harmonica - play Dylan's Blowing in the Wind today!,1,20,81,5,14,All Levels,1,Musical Instruments,2016,01
1829,994050,Instant Harmonica - play Dylan's Like a Rolling Stone now!,1,40,28,2,11,All Levels,1.5,Musical Instruments,2016,10
1830,1111562,Instant Harmonica - play 'I just called to say I love you',1,40,15,0,11,All Levels,1,Musical Instruments,2017,02
1831,618334,Instant Harmonica - play jazzy Autumn Leaves now (part one),1,20,25,1,10,Beginner Level,0.7,Musical Instruments,2015,10
1832,618370,Instant Harmonica - play jazzy Autumn Leaves now (part two),1,20,19,1,9,Beginner Level,0.5,Musical Instruments,2015,10
1833,1013762,Instant Harmonica - play Leonard Cohen's Hallelujah now!,1,40,100,15,14,All Levels,1.5,Musical Instruments,2016,11
1834,854692,Instant Harmonica - play Over the Rainbow + Skye Boat now!,1,40,29,4,22,All Levels,1.5,Musical Instruments,2016,07
1835,563650,Instant Harmonica - play Scarborough Fair in 8 easy lectures,1,40,543,4,12,Beginner Level,1,Musical Instruments,2015,07
1836,589248,Instant Harmonica - play Somewhere Over the Rainbow now!,1,40,431,2,11,Beginner Level,1,Musical Instruments,2016,01
1837,854694,Instant Harmonica - play Star Wars + the Lion Sleeps now!,1,40,33,3,20,All Levels,1.5,Musical Instruments,2016,08
1838,854690,Instant Harmonica - play Summertime + Drunken Sailor now!,1,40,26,2,20,All Levels,1.5,Musical Instruments,2016,07
1839,586490,Instant Harmonica - play Summertime in 8 fun & easy lessons,1,40,81,7,11,Beginner Level,1,Musical Instruments,2015,08
1840,963094,Instant Harmonica - play the cool tune Dirty Old Town now!,1,40,42,8,17,All Levels,1.5,Musical Instruments,2016,10
1841,618396,Instant Harmonica - play the Drunken Sailor sea shanty now! ,1,20,27,3,9,Beginner Level,0.6,Musical Instruments,2015,10
1842,636858,Instant Harmonica - play the gorgeous Skye Boat Song now!,1,20,122,9,11,Beginner Level,0.6,Musical Instruments,2015,10
1843,561774,Instant Harmonica - play the great Irish tune Molly Malone!,1,20,420,2,13,Beginner Level,1,Musical Instruments,2015,07
1844,729464,Instant Harmonica - play the groovy Beatles Yesterday today!,1,40,295,7,14,All Levels,1,Musical Instruments,2016,04
1845,933818,Instant Harmonica - play the groovy Irish Washerwoman now!,1,40,55,8,13,Beginner Level,1,Musical Instruments,2017,01
1846,769518,Instant Harmonica - play the groovy Valens La Bamba now!,1,20,390,4,10,Beginner Level,0.7,Musical Instruments,2016,02
1847,1104492,Instant Harmonica - play the Irish anthem Danny Boy today!,1,40,8,1,15,All Levels,1,Musical Instruments,2017,03
1848,701662,Instant Harmonica - play the Irish tune Whiskey in the Jar!,1,20,41,1,13,All Levels,1,Musical Instruments,2015,12
1849,584468,Instant Harmonica - play The Kesh (part 2) - easy and fun!,1,20,53,5,9,Beginner Level,0.6,Musical Instruments,2015,08
1850,583224,Instant Harmonica - play The Kesh (pt 1) it's easy and fun!,1,40,58,5,11,All Levels,0.6,Musical Instruments,2015,08
1851,588264,Instant Harmonica - play The Lion Sleeps Tonight - today!,1,20,62,1,11,Beginner Level,1,Musical Instruments,2015,08
1852,636846,Instant Harmonica - play the old Popeye Spinach song now !,1,20,22,0,10,Beginner Level,0.6,Musical Instruments,2015,10
1853,1104494,Instant Harmonica - play this classic 8 bar blues tune!,1,40,43,4,13,All Levels,1,Musical Instruments,2017,04
1854,1104496,Instant Harmonica - play this classic GAME OF THRONES theme!,1,40,21,2,13,Beginner Level,1,Musical Instruments,2017,05
1855,564446,Instant Harmonica - play two Star Wars themes in 30 minutes ,1,20,605,21,11,Beginner Level,0.7,Musical Instruments,2015,07
1856,582390,Instant Harmonica - play When the Saints on harmonica now!,1,20,31,1,10,Beginner Level,1,Musical Instruments,2015,08
1857,933812,Instant Harmonica - play Whiskey in the Jar + Molly Malone!,1,40,21,3,27,All Levels,2,Musical Instruments,2016,09
1858,933816,Instant Harmonica - play Yesterday + Scarborough Fair today!,1,40,33,5,26,All Levels,2,Musical Instruments,2016,08
1859,559438,Instant Harmonica – play Beethoven’s Ode to Joy right now!,1,20,455,3,11,Beginner Level,1,Musical Instruments,2015,07
1860,856490,Interaction Design Specialist For Web Developers,1,95,8594,37,18,All Levels,2,Web Development,2016,07
1861,1181900,Interactive Dynamic JavaScript for beginners DOM,1,200,5559,35,21,Beginner Level,2,Web Development,2017,04
1862,179500,Interest Rate Swaps,1,50,485,24,20,All Levels,3.5,Business Finance,2014,03
1863,1164488,Interiores Sostenibles 101,1,30,1,0,5,Beginner Level,1,Graphic Design,2017,04
1864,1051430,Intermediate Accounting 1: Easy. Fast. Simple!,1,200,90,12,35,Intermediate Level,2.5,Business Finance,2016,12
1865,474928,Intermediate Options trading concepts for Stocks and Options,1,40,2000,30,9,All Levels,1,Business Finance,2015,04
1866,1078520,"Internal Controls - Design, Implementation and Monitoring",1,195,62,6,27,Beginner Level,6.5,Business Finance,2017,03
1867,907716,International Tax  - Tax Beyond boundaries,1,100,27,6,235,All Levels,19.5,Business Finance,2016,09
1868,113712,International Trade and New Geographic Economy,1,20,12,1,6,All Levels,0.5,Business Finance,2013,12
1869,627772,Interpreting financial statements,0,0,2119,111,54,All Levels,2,Business Finance,2015,10
1870,57415,Interpreting Financial Statements,1,20,1449,29,23,Beginner Level,1.5,Business Finance,2013,06
1871,561800,Intro to Adobe Illustrator,1,20,189,13,55,Beginner Level,6,Graphic Design,2015,08
1872,920604,Intro to Financial Modeling,1,105,1077,110,55,Beginner Level,6,Business Finance,2016,08
1873,1232382,Intro to Financial Statement Audits,1,50,1,0,9,Intermediate Level,1.5,Business Finance,2017,06
1874,802268,Intro to Git,1,20,2532,291,30,Beginner Level,1,Web Development,2016,06
1875,399640,Intro To HTML & CSS: Web Development For Beginners,1,20,6008,203,35,Beginner Level,4,Web Development,2015,01
1876,255604,Intro to Illustrator,1,20,11,4,59,Beginner Level,7,Graphic Design,2014,07
1877,994666,Intro to Impact Investing,1,200,44,4,12,Beginner Level,0.5,Business Finance,2016,11
1878,730414,"Intro to Investment Banking, M&A, IPO, Modeling + Free Book",1,60,1922,149,15,All Levels,20,Business Finance,2016,01
1879,669174,Intro to Photoshop for Merch by Amazon,1,25,331,24,9,Beginner Level,1,Graphic Design,2015,11
1880,82412,Intro to PHP Web Application Development with Symfony,1,200,4040,72,20,Beginner Level,1.5,Web Development,2013,09
1881,1113702,"Intro. to Asset-Backed Securities, CFA Level I,  2017 Prep",1,20,1,0,13,All Levels,3,Business Finance,2017,03
1882,396888,Introducción a la Contabilidad,1,30,1235,31,15,Beginner Level,2.5,Business Finance,2015,01
1883,307080,Introducción a la contabilidad,1,20,193,19,14,Beginner Level,1,Business Finance,2014,12
1884,396890,Introducción a las Finanzas,1,30,1798,40,15,Beginner Level,1.5,Business Finance,2015,01
1885,185500,Introducción al retrato realista con Photoshop,1,20,3,0,7,Beginner Level,1,Graphic Design,2014,04
1886,400464,Introducción al trading de opciones,1,100,1573,122,43,Beginner Level,5.5,Business Finance,2015,02
1887,755932,Introducing Ionic 2,1,50,394,78,22,Beginner Level,1.5,Web Development,2016,02
1888,1031696,Introduction to Accounting - Analyzing Financial Statements,1,60,37,15,12,Intermediate Level,1,Business Finance,2016,12
1889,1020760,Introduction to Accounting : Mastering Financial Statements,1,50,1916,38,23,Beginner Level,1,Business Finance,2016,12
1890,302562,Introduction to Accounting: The Language of Business,1,20,11958,370,134,Beginner Level,11.5,Business Finance,2014,10
1891,1162656,Introduction to Bitcoin for Beginners,1,20,2,1,7,Beginner Level,0.6,Business Finance,2017,04
1892,155344,Introduction to Bookkeeping (Accounting),1,20,3251,10,59,Beginner Level,12,Business Finance,2014,01
1893,576946,Introduction to bookkeeping and Accounting,1,35,2623,158,20,Beginner Level,1,Business Finance,2015,08
1894,98140,Introduction to Bootstrap 3,1,20,5795,79,29,Beginner Level,2.5,Web Development,2013,09
1895,543090,Introduction to Coding with Ruby,1,45,5077,126,66,Beginner Level,3.5,Web Development,2015,07
1896,1016996,Introduction to Corporate Finance (Mergers & Acquisitions),0,0,2080,83,30,Beginner Level,1.5,Business Finance,2017,02
1897,1188742,Introduction to Cryptocurrencies and Blockchain,0,0,3775,138,11,Beginner Level,2,Business Finance,2017,05
1898,212374,Introduction to CSS Development,0,0,15493,415,25,Beginner Level,2,Web Development,2014,08
1899,902748,Introduction To Data Analytics Using Microsoft Power BI,1,45,1764,33,16,All Levels,1.5,Web Development,2016,07
1900,248338,Introduction to Day Trading,1,50,79,5,36,Beginner Level,1,Business Finance,2014,09
1901,189996,Introduction to Digital Payments ,0,0,12217,351,17,Beginner Level,1,Business Finance,2014,04
1902,1170690,Introduction to Elm,0,0,1519,28,20,Intermediate Level,1,Web Development,2017,05
1903,528488,Introduction to Equity Markets,0,0,4770,64,31,Beginner Level,6.5,Business Finance,2015,07
1904,888716,"Introduction to Finance, Accounting, Modeling and Valuation",1,200,11441,1118,61,All Levels,4.5,Business Finance,2016,06
1905,385604,Introduction to Financial Consolidation under IFRS,1,25,21,3,8,All Levels,1.5,Business Finance,2016,12
1906,151668,Introduction to Financial Modeling,0,0,29167,1463,8,Intermediate Level,1.5,Business Finance,2014,05
1907,771276,Introduction to Financial Statement Analysis,1,20,1480,25,25,Beginner Level,1.5,Business Finance,2016,03
1908,560218,Introduction to Financial Statements,1,40,112,1,14,Beginner Level,1.5,Business Finance,2015,08
1909,1157298,Introduction to Forex Trading Business For Beginners,1,20,0,0,27,Beginner Level,1.5,Business Finance,2017,04
1910,1157298,Introduction to Forex Trading Business For Beginners,1,20,0,0,27,Beginner Level,1.5,Business Finance,2017,04
1911,673196,Introduction to Frontend Web Development For  Beginners,1,145,1018,28,48,Beginner Level,4.5,Web Development,2016,08
1912,179820,Introduction to Futures & Options,1,50,694,35,27,All Levels,4.5,Business Finance,2014,03
1913,1224262,Introduction to Futures Trading and Live Trade Demonstration,1,60,54,4,6,Expert Level,0.7,Business Finance,2017,05
1914,808808,Introduction to GIMP 2.8: Tutorials for Beginners,1,20,282,8,28,Beginner Level,3,Graphic Design,2016,04
1915,151027,"Introduction to Guitar 'A Course for Beginners"",https://www.udemy.com/introduction-to-guitar/,true,25,163,11,56,Beginner Level,2.5 hours,2014-10-30T15:59:39Z
650804,Guitar  Master Class Learning How to Play Guitar from A to Z""",1,40,489,5,35,All Levels,4,Musical Instruments,2015,10
1916,1132694,Introduction to Gypsy Jazz Guitar,1,95,452,10,18,All Levels,2.5,Musical Instruments,2017,05
1917,740764,Introduction to Health Financing,1,85,26,1,17,Beginner Level,2,Business Finance,2016,05
